school_name,address,mascot,colors,f2_colors
Coahulla Creek High School,"3361 Crow Road Dalton, GA 30721-1022",Colts,Navy & Silver,"navy, silver"
East Jackson Comp. High School,"1435 Hoods Mill Road Commerce, GA 30529",Eagles,Navy & Silver,"navy, silver"
Grovetown High School,"2010 Warrior Way Grovetown, GA 30813-8132",Warriors,"Navy, Silver, Red & White","navy, silver"
Luella High School,"603 Walker Drive Locust Grove, GA 30248-2052",Lions,"Navy, Silver & Maroon","navy, silver"
North Paulding High School,"300 North Paulding Drive Dallas, GA 30132-5725",Wolfpack,Navy & Silver,"navy, silver"
Redan High School,"5247 Redan Road Stone Mountain, GA 30088-2803",Raiders,Navy & Silver,"navy, silver"
Spalding High School,"433 Wilson Road Griffin, GA 30224-4547",Jaguars,Navy & Silver,"navy, silver"
West Hall High School,"5500 McEver Road Oakwood, GA 30566",Spartans,Navy & Silver,"navy, silver"
Dacula High School,"123 Broad Street Dacula, GA 30019",Falcons,"Navy, Vegas Gold & White","navy, vegas gold"
Decatur High School,"310 North McDonough Street Decatur, GA 30030-3339",Bulldogs,Navy & Vegas Gold,"navy, vegas gold"
Douglas County High School,"8705 Campbellton Street Douglasville, GA 30134-2299",Tigers,Navy & Vegas Gold,"navy, vegas gold"
Hapeville Charter Career Academy,"6045 Buffington Road, Building A Atlanta, GA 30349",Hornets,Navy & Vegas Gold,"navy, vegas gold"
Landmark Christian School,"50 SE Broad Street Fairburn, GA 30213-1483",War Eagles,Navy & Vegas Gold,"navy, vegas gold"
River Ridge High School,"400 Arnold Mill Road Woodstock, GA 30188",Knights,Navy & Vegas Gold,"navy, vegas gold"
St. Pius X Catholic High School,"2674 Johnson Road, NE Atlanta, GA 30345-1720",Golden Lions,"Navy, Vegas Gold & White","navy, vegas gold"
Tattnall County High School,"#1 Battle Creek Warrior Blvd. Reidsville, GA 30453",Battle Creek Warriors,Navy & Vegas Gold,"navy, vegas gold"
Whitefield Academy,"1 Whitefield Drive Smyrna, GA 30126",WolfPack,Navy & Vegas Gold,"navy, vegas gold"
Glascock County High School,"1230 Panther Way Gibson, GA 30810",Panthers,Orange & Black,"orange, black"
Hart County High School,"59 5th Street Hartwell, GA 30643",Bulldogs,Orange & Black,"orange, black"
LaFayette High School,"5178 Round Pond Road LaFayette, GA 30728",Ramblers,Orange & Black,"orange, black"
Columbia High School,"2106 Columbia Drive Decatur, GA 30032-7202",Eagles,Orange & Blue,"orange, blue"
Turner County High School,"316 Lamar Street Ashburn, GA 31714",Titans,Orange & Blue,"orange, blue"
