school_name,address,mascot,colors
Harrison High School,"4500 Due West Road Kennesaw, GA 30152-3855",Hoyas,"Navy, Kelly Green & White"
Hart County High School,"59 5th Street Hartwell, GA 30643",Bulldogs,Orange & Black
Hawkinsville High School,"70 Red Devil Drive Hawkinsville, GA 31036",Red Devils,"Red, White & Blue"
Heard County High School,"545 main street franklin, GA 30217",Braves,Maroon & Gray
Hebron Christian Academy,"775 Dacula Road Dacula, GA 30019",Lions,"Cardinal, Vegas Gold & White"
McDonough High School,"155 Postmaster Drive McDonough, GA 30253",Warhawks,"Black, Vegas Gold, & White"
Hephzibah High School,"4558 Brothersville Road Hephzibah, GA 30815",Rebels,Red & Black
Heritage High School,"3960 Poplar Springs Road Ringgold, GA 30736",Generals,"Navy, Red & White"
Heritage High School,"2400 Granade Road SW Conyers, GA 30094",Patriots,"Blue, White & Red"
Hillgrove High School,"4165 Luther Ward Road Powder Springs, GA 30127",Hawks,Crimson & Silver
Hiram High School,"702 Virgie Ballentine Drive Hiram, GA 30141",Hornets,Purple & Vegas Gold
Holy Innocents' Episcopal School,"805 Mount Vernon Highway, NW Atlanta, GA 30327",Golden Bears,Crimson & Gold
Houston County High School,"920 Highway 96 Warner Robins, GA 31088",Bears,"Black, Silver & White"
Howard High School,"6400 Forsyth Road Macon, GA 31210",Huskies,"Cardinal, Black & Silver"
Langston Hughes High School,"7510 Hall Road Fairburn, GA 30213",Panthers,"Green, Gold & Black"
Innovation Academy,"125 Milton Avenue Alpharetta, GA 30009",Phoenix,Orange and Dark Blue
Irwin County High School,"149 Chieftain Circle Ocilla, GA 31774-2231",Indians,Red & Gray
Islands High School,"170 Whitemarsh Island Road Savannah, GA 31410",Sharks,"Teal, Black & White"
Jackson High School,"717 South Harkness Street Jackson, GA 30233",Red Devils,"Red, White & Navy"
Jackson County High School,"152 Jaxco Junction Hoschton, GA 30548",Panthers,"Red, Black & White"
Maynard Jackson High School,"801 Glenwood Avenue Atlanta, GA 30316",Jaguars,Gold & Cardinal
Jasper County High School,"14477 GA Highway 11 N Monticello, GA 31064",Hurricanes,"Purple, White, Silver, and Black"
Jeff Davis High School,"156 Collins Street Hazlehurst, GA 31539",Yellow Jackets,Blue & Gold
Jefferson High School,"575 Washington Street Jefferson, GA 30549",Dragons,"Royal Blue, Red & White"
